verb | manger | comer
noun | petit-déjeuner | desayuno
noun | plat | plato
noun | serveur, serveuse | camarero, camarera
noun | repas | comida
verb | servir | servir
verb | acheter | comprar
noun | bon marché | barato, barata
noun | boucherie | carnicería
noun | boulangerie | panadería
noun | caissier, caissière | cajero, cajera
noun | charcuterie | charcutería
noun | centre commercial | centro comercial
noun | courses (alimentaires) | compras (alimentación)
verb | coûter | costar
expr | en espèces | en efectivo
noun | épicerie | tienda de ultramarinos, tienda de comestibles
noun | libraiire | librería
noun | marché | mercado
noun | magasin | tienda
verb | payer | pagar
verb | peser | pesar
noun | poissonnerie | pescadería
noun | prix | precio
noun | supermarché | supermercado
noun | vendeur, vendeuse | vendedor, vendedora
noun | ticket de caisse | ticket de compra, tique, recibo
noun | coton | algodón
noun | cuir | cuero
noun | laine | lana
adje | élégant, élégante | elegante
verb | essayer | probarse
noun | jean | vaqueros, tejanos
noun | matière | material
noun | mode (vêtements) | moda (ropa)
verb | mettre (un vêtement) | ponerse (una prenda)
noun | modèle | modelo
adje | orange | naranja
noun | pointure | talla (zapatos), número
verb | porter (un vêtement) | llevar, llevar puesta (una prenda)
noun | pull | jersey
noun | soldes | rebajas
noun | sous-vêtements | ropa interior
noun | taille | talla
noun | vêtement | prenda de vestir, prenda
adje | violet, violette | violeta
noun | banlieue | periferia, afueras
noun | bâtiment | edificio
noun | centre-ville | centro de la ciudad, centro
noun | campagne | campo (rural)
noun | champ | campo (área)
noun | commissariat | comisaría
noun | embouteillage, bouchon | atasco
noun | espace vert | zona verde, espacio verde
noun | fleur | flor
noun | jardin | jardín
noun | piéton, piétonne | peatón, peatona
noun | pollution | contaminación
noun | quartier | barrio
verb | se balader | pasearse
verb | se déplacer | desplazarse
noun | trottoir | acera
noun | village | pueblo
noun | capitale (d'un pays) | capital (de un país)
noun | continent | continente
noun | côte | costa
noun | désert | desierto
adje | domestique (animal) | doméstico (animal)
noun | écologie | ecología
noun | faune | fauna
noun | flore | flora
noun | lac | lago
noun | monde | mundo
noun | nature | naturaleza, natura
noun | océan | océano
noun | planète | planeta
noun | région | región
noun | rivière | río
adje | sauvage (animaux) | salvaje (animales)
noun | la Terre | la Tierra
noun | automne | otoño
verb | briller | brillar
noun | climat | clima
adje | couvert (temps) | cubierto (tiempo)
noun | degré | grado
adje | doux, douce | suave
noun | été | verano
noun | hiver | invierno
